"","id","longitude","latitude","rndCoord.lon","rndCoord.lat","ClimateZ","climate_type"
"38",38,-77.043891,38.9097387,-77.25,38.75,"Cfa","Temperate No Dry Season Hot Summer"
"39",39,-86.1192772,34.1666754,-86.25,34.25,"Cfa","Temperate No Dry Season Hot Summer"
"40",40,-78.1945146,39.1014751,-78.25,39.25,"Cfa","Temperate No Dry Season Hot Summer"
"41",41,-78.6732692,42.7245868,-78.75,42.75,"Dfb","Continental No Dry Season Warm Summer"
"42",42,-76.8571679,39.9979137,-76.75,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"43",43,-79.3629854,43.0208392,-79.25,43.25,"Dfb","Continental No Dry Season Warm Summer"
"44",44,-77.201705,41.9735597,-77.25,41.75,"Dfb","Continental No Dry Season Warm Summer"
"45",45,-76.5043106,40.1091208,-76.75,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"46",46,-75.9078327,40.33607,-75.75,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"47",47,-93.6206605,41.5830468,-93.75,41.75,"Dfa","Continental No Dry Season Hot Summer"
"48",48,-72.0815198,41.901251,-72.25,41.75,"Dfb","Continental No Dry Season Warm Summer"
"49",49,-78.6279155,35.6800912,-78.75,35.75,"Cfa","Temperate No Dry Season Hot Summer"
"50",50,-75.2572137,39.8921524,-75.25,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"51",51,-83.6675126,41.6818106,-83.75,41.75,"Dfa","Continental No Dry Season Hot Summer"
"52",52,-82.501816,39.9335365,-82.75,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"53",53,-116.2049143,43.6078333,-116.25,43.75,"Csb","Temperate Dry Summer Cold Summer"
"54",54,-76.4818192,37.0699814,-76.25,37.25,"Cfa","Temperate No Dry Season Hot Summer"
"55",55,-75.3823447,40.290503,-75.25,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"56",56,-94.2743348,29.9295431,-94.25,29.75,"Cfa","Temperate No Dry Season Hot Summer"
"57",57,-86.5418817,34.7159524,-86.75,34.75,"Cfa","Temperate No Dry Season Hot Summer"
"58",58,-117.8912722,48.5224835,-117.75,48.75,"Dfb","Continental No Dry Season Warm Summer"
"59",59,-124.0503748,49.159641,-124.25,49.25,"Csb","Temperate Dry Summer Cold Summer"
"60",60,-84.8633726,41.1303246,-84.75,41.25,"Dfa","Continental No Dry Season Hot Summer"
"61",61,-120.9523743,39.9362979,-120.75,39.75,"Csb","Temperate Dry Summer Cold Summer"
"62",62,-81.2526303,41.6904499,-81.25,41.75,"Dfb","Continental No Dry Season Warm Summer"
"63",63,-82.1832562,42.7669782,-82.25,42.75,"Dfb","Continental No Dry Season Warm Summer"
"64",64,-81.9836809,26.574715,-81.75,26.75,"Cfa","Temperate No Dry Season Hot Summer"
"65",65,-73.7307821,41.2634599,-73.75,41.25,"Cfa","Temperate No Dry Season Hot Summer"
"66",66,-65.611397,43.5128603,-65.75,43.75,"Cfb","Temperate No Dry Season Warm Summer"
"67",67,-76.4677586,40.2467673,-76.25,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"68",68,-122.7158264,45.5100569,-122.75,45.75,"Csb","Temperate Dry Summer Cold Summer"
"69",69,-83.8676887,34.6229744,-83.75,34.75,"Cfa","Temperate No Dry Season Hot Summer"
"70",70,-85.7731068,39.303483,-85.75,39.25,"Cfa","Temperate No Dry Season Hot Summer"
"71",71,-88.0424457,43.0315284,-88.25,43.25,"Dfb","Continental No Dry Season Warm Summer"
"72",72,-78.6421806,35.4574054,-78.75,35.25,"Cfa","Temperate No Dry Season Hot Summer"
"73",73,-86.7794046,33.4870467,-86.75,33.25,"Cfa","Temperate No Dry Season Hot Summer"
"74",74,-76.3072977,40.0588008,-76.25,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"75",75,-82.1832562,42.7669782,-82.25,42.75,"Dfb","Continental No Dry Season Warm Summer"
"76",76,-74.2839038,40.7674513,-74.25,40.75,"Cfa","Temperate No Dry Season Hot Summer"
"77",77,-119.2915259,50.2400127,-119.25,50.25,"Dfb","Continental No Dry Season Warm Summer"
"78",78,-76.6644525,40.1213254,-76.75,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"79",79,-78.7646866,39.6528658,-78.75,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"80",80,-96.2751068,40.6834005,-96.25,40.75,"Dfa","Continental No Dry Season Hot Summer"
"81",81,-72.5459557,40.8703818,-72.75,40.75,"Cfa","Temperate No Dry Season Hot Summer"
"82",82,-88.3362437,42.1157016,-88.25,42.25,"Dfa","Continental No Dry Season Hot Summer"
"83",83,-71.7666023,42.2642941,-71.75,42.25,"Dfb","Continental No Dry Season Warm Summer"
"84",84,-82.7769959,35.243478,-82.75,35.25,"Cfb","Temperate No Dry Season Warm Summer"
"85",85,-84.2019907,39.7886347,-84.25,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"86",86,-76.6644525,40.1213254,-76.75,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"87",87,-82.7769959,35.243478,-82.75,35.25,"Cfb","Temperate No Dry Season Warm Summer"
"88",88,-76.985847,39.7910902,-76.75,39.75,"Cfa","Temperate No Dry Season Hot Summer"
